lat,lon,density,address
25.895416757434198,-100.17208294580183,579109.56,"Calle Barón de Alcalá, General Zuazua"
25.903750090734196,-100.16374961250183,439082.53,"Calle Príncipe de Mónaco, General Zuazua"
25.895416757434198,-100.16374961250183,268928.94,"Calle Puerto Ángel, General Zuazua"
25.887083424134197,-100.18041627910183,187997.81,"Calle Parque De Florencia, General Zuazua"
25.887083424134197,-100.17208294580183,171137.44,"brecha, General Zuazua"
25.920416757334195,-100.18041627910183,149527.4,"Calle Villa de San Marino, Ciénega de Flores"
25.878750090834195,-100.12208294600184,133070.12,"Carretera Zuazua - Agua Fría, General Zuazua"
25.912083424034197,-100.16374961250183,131025.4,"Calle Winsor, General Zuazua"
25.912083424034197,-100.18041627910183,124981.234,"NL 5, General Zuazua"
25.895416757434198,-100.18041627910183,85336.5,"Avenida Del Renacimiento, General Zuazua"
25.795416757834197,-100.59708294410183,84123.25,"Prolongación 16 de Septiembre, Villa de los Nogales, García"
25.887083424134197,-100.13041627930184,83922.5,"Prolongación Lázaro Cárdenas, General Zuazua"
25.887083424134197,-100.12208294600184,74992.94,"Calle Hermanos Gutiérrez De Lara, General Zuazua"
25.903750090734196,-100.15541627920183,67684.73,"Calle Rincón del Valle, General Zuazua"
25.895416757434198,-100.10541627940184,66556.17,"Calle General Gerónimo Treviño, General Zuazua"
25.787083424534195,-100.57208294420184,58644.43,"Hacienda del Gato, García"
25.903750090734196,-100.17208294580183,57498.8,"Avenida Del Renacimiento, General Zuazua"
25.803750091134198,-100.60541627740184,55456.93,"Calle Monte Tauro, Punta Esmeralda, García"
25.787083424534195,-100.58874961080184,51684.492,"Huizaches, García"
25.920416757334195,-100.16374961250183,49177.668,"Calle Brescia, General Zuazua"
25.778750091234198,-100.43041627810183,47389.777,Sierra de Galeana
25.803750091134198,-100.61374961070183,46998.13,"San Nicolás Tolentino, García"
25.803750091134198,-100.59708294410183,45393.14,"Villa Real, Real de Villa de García, García"
20.520416778934198,-103.38041626630184,45194.188,"Calle Nuestra Señora de las Mercedes, Jinotega, Hacienda Santa Fe"
20.503750112334195,-103.36374959970183,45069.32,"Calle Cerro del Tule, Hacienda Santa Fe"
25.878750090834195,-100.13041627930184,45018.336,"Girasol, General Zuazua"
25.795416757834197,-100.58041627750184,43892.875,"Sor Juana Inés De La Cruz, Mirador de García, García"
25.795416757834197,-100.42208294480184,42357.58,Calle San Román
25.653750091734196,-100.08041627950183,41814.3,"Calle Alhelí, Benito Juárez"
20.512083445634197,-103.37208293300183,40429.06,"Boulevard Brasil, Jinotega, Hacienda Santa Fe"
25.870416757534198,-100.12208294600184,40427.258,"Calle San Francisco, General Zuazua"
25.787083424534195,-100.46374961130184,40391.4,Circuito Misión Trinidad
25.795416757834197,-100.58874961080184,40023.684,"Sor Juana Inés de la Cruz, Villa de los Nogales, García"
25.778750091234198,-100.58874961080184,38924.176,Sierra Sur
19.595416782634196,-98.98041628390183,37919.766,"Calle Fresnos, Acolman"
25.787083424534195,-100.58041627750184,37851.53,"Avenida Las Villas, García"
20.520416778934198,-103.37208293300183,37291.01,"Calle Santa Bárbara, Hacienda Santa Fe"
19.328750117034197,-99.16374961650183,35926.17,"Calle Cicalco, Colonia Rinconada de Los Reyes, Ciudad de México"
25.620416758534198,-100.17208294580183,34258.316,"Lomas de Jamaica, Santa Mónica"
20.645416778434196,-87.06374966490183,34087.984,"Avenida Luis Donaldo Colosio, Colosio, Playa del Carmen"
25.795416757834197,-100.60541627740184,34044.24,"Nogal, Valles del Mirador, García"
19.3870834501342,-99.21374961630184,33825.984,"Calle Mexicanos, Colonia Mártires de Tacubaya, Ciudad de México"
19.378750116834198,-99.21374961630184,33556.152,"Calle Carpinteros, Colonia Ampliación Las Golondrinas, Ciudad de México"
20.628750111834197,-103.28041626670183,33446.45,"Andador Valle del Río San Lorenzo, Tonalá"
19.378750116834198,-99.20541628300184,32860.066,"Calle Malinche, Barrio Norte, Ciudad de México"
25.620416758534198,-100.18041627910183,32502.15,"Calle Valle de los Laureles, Valle de la Silla"
19.320416783734196,-99.03874961700183,32440.658,"Cerrada Teotihuacán, Colonia Degollado, Ciudad de México"
19.378750116834198,-99.23041628290184,32371.848,"Calle Guadalupe Victoria, Jalalpa Tepito, Ciudad de México"
19.445416783234197,-99.12208295000184,31709.473,"Calle Mineros, Morelos, Ciudad de México"
19.437083449934196,-99.27208294940183,31364.88,"Callejón Edelmiro Maldonado, Colonia Lomas del Cadete, Naucalpan de Juárez"
